ID,date(YYYY-MM-DD_HHhMM.SS.MsMsMs),experiment,psychopyversion,OS,frameRate,TaskOrder
RPS003_demo,2022-10-31_13h07.10.649,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.04202942,SASWscSYsrN
Test,2023-03-09_23h00.45.167,EFMW_Tasks_RPS,2021.1.4,Win32,59.99520038,NSWscSASYrs
RPS001,2022-11-08_10h18.18.652,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SYsrSWcsNSA
RPS002,2022-11-10_10h06.26.276,EFMW_Tasks_RPS,2021.1.4,Win32,60.62810719,SANSWscSYsr
RPS000,2022-11-11_09h06.15.697,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.97361161,SYsrNSWcsSA
RPS005,2022-11-14_10h05.53.241,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.99880002,SWcsNSASYrs
RPS006,2022-11-17_09h01.49.234,EFMW_Tasks_RPS,2021.1.4,Win32,59.97720866,SANSWscSYrs
RPS003,2022-11-18_10h10.26.631,EFMW_Tasks_RPS,2021.1.4,Win32,60.06366749,SASYsrSWscN
RPS009,2022-11-21_10h05.03.005,EFMW_Tasks_RPS,2021.1.4,Win32,59.97361161,SWcsSYsrNSA
RPS010,2022-11-22_14h37.12.465,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SYrsNSASWsc
RPS011,2022-11-25_10h13.03.061,EFMW_Tasks_RPS,2021.1.4,Win32,60.07088364,SASYrsSWcsN
RPS012,2022-11-25_14h17.40.259,EFMW_Tasks_RPS,2021.1.4,Win32,60.08893162,SASYrsSWcsN
RPS013,2022-11-26_09h14.00.857,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SYrsNSASWsc
RPS014,2022-11-28_10h02.26.854,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.97361161,SYsrNSASWsc
RPS016,2022-11-29_14h34.38.136,EFMW_Tasks_RPS,2021.1.4,Win32,59.95922773,SWcsSANSYrs
RPS017,2022-11-30_14h22.37.924,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.99880002,NSASYsrSWsc
RPS018,2022-12-01_10h04.27.688,EFMW_Tasks_RPS,2021.1.4,Win32,161.8646811,SANSYrsSWcs
RPS020,2022-12-01_15h06.45.903,EFMW_Tasks_RPS,2021.1.4,Win32,60.35367252,SWscNSASYrs
RPS021,2022-12-01_15h35.06.518,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SASYrsNSWsc
RPS022,2022-12-03_10h08.45.483,EFMW_Tasks_RPS,2021.1.4,Linux x86_64,60.04924038,SWscNSYsrSA
RPS023,2022-12-03_12h34.11.923,EFMW_Tasks_RPS,2021.1.4,Win32,60.17571308,SASWscSYsrN
RPS024,2022-12-03_15h05.11.350,EFMW_Tasks_RPS,2021.1.4,Win32,60.57669009,SANSWscSYrs
RPS025,2022-12-04_10h05.30.911,EFMW_Tasks_RPS,2021.1.4,Win32,60.24822268,SANSWcsSYsr
RPS026,2022-12-04_13h03.32.455,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SASWcsNSYsr
RPS026,2022-12-04_13h03.32.455,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SASWcsNSYsr
RPS019,2022-12-05_10h11.31.472,EFMW_Tasks_RPS,2021.1.4,Win32,60.05645307,SANSYrsSWcs
RPS029,2022-12-06_14h02.54.762,EFMW_Tasks_RPS,2021.1.4,Win32,59.94844434,NSWscSYsrSA
RPS030,2022-12-06_14h24.55.241,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SYrsSWscNSA
RPS027,2022-12-07_09h35.17.127,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.99880002,SYsrSWscSAN
RPS031,2022-12-09_12h09.16.648,EFMW_Tasks_RPS,2021.1.4,Win32,59.93766483,NSWcsSASYrs
RPS032,2023-01-19_11h05.51.261,EFMW_Tasks_RPS,2021.1.4,Win32,60.62810719,SWscSYrsNSA
RPS033,2023-01-20_09h08.02.915,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SWscSASYsrN
RPS034,2023-01-20_12h05.25.980,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.99880002,NSYsrSWscSA
RPS035,2023-01-24_15h02.25.280,EFMW_Tasks_RPS,2021.1.4,Win32,60.28090904,SYrsNSWscSA
RPS036,2023-01-25_09h13.48.791,EFMW_Tasks_RPS,2021.1.4,MacIntel,120.0048002,SANSWscSYsr
RPS038,2023-01-25_14h12.08.234,EFMW_Tasks_RPS,2021.1.4,Win32,59.89458553,SANSWscSYrs
RPS040,2023-01-26_11h31.45.594,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,NSYrsSWscSA
RPS041,2023-01-26_14h09.31.941,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SANSWcsSYrs
RPS042,2023-01-27_09h16.45.332,EFMW_Tasks_RPS,2021.1.4,Win32,60.13229104,SWscSASYsrN
RPS043,2023-01-27_11h59.10.441,EFMW_Tasks_RPS,2021.1.4,Win32,60.3427468,SWcsSYrsSAN
RPS044,2023-01-30_09h24.53.430,EFMW_Tasks_RPS,2021.1.4,MacIntel,29.9204117,NSASYsrSWcs
RPS045,2023-01-30_11h07.58.170,EFMW_Tasks_RPS,2021.1.4,Win32,60.38647343,SASWscNSYrs
RPS046,2023-02-01_09h11.52.944,EFMW_Tasks_RPS,2021.1.4,MacIntel,20.00080003,NSWcsSYrsSA
RPS047,2023-02-01_14h30.54.843,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SWcsSANSYrs
RPS048,2023-02-02_09h19.27.159,EFMW_Tasks_RPS,2021.1.4,Win32,59.94485074,SWscNSYsrSA
RPS049,2023-02-02_11h36.55.612,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.99880002,NSYrsSWcsSA
RPS050,2023-02-02_14h02.50.454,EFMW_Tasks_RPS,2021.1.4,Win32,60.07449237,SANSYsrSWsc
RPS051,2023-02-03_09h06.50.351,EFMW_Tasks_RPS,2021.1.4,Win32,60.0348202,SANSWcsSYrs
RPS052,2023-02-03_09h30.19.363,EFMW_Tasks_RPS,2021.1.4,Win32,60.80875646,SWscNSASYrs
RPS053,2023-02-03_12h10.51.176,EFMW_Tasks_RPS,2021.1.4,Win32,60.12144532,SWcsSASYrsN
RAD001,2023-02-04_11h58.21.781,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.95203837,SANSYsrSWsc
RPS056,2023-02-06_14h36.45.087,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SWcsSYsrSAN
RPS057,2023-02-06_16h20.37.061,EFMW_Tasks_RPS,2021.1.4,Win32,60.07810153,SWscSANSYsr
RPS058,2023-02-08_09h05.03.678,EFMW_Tasks_RPS,2021.1.4,Win32,60.06006006,SYrsSASWscN
RPS059,2023-02-08_14h03.59.871,EFMW_Tasks_RPS,2021.1.4,Win32,60.25185274,SYsrSWscSAN
RPS060,2023-02-09_09h04.19.330,EFMW_Tasks_RPS,2021.1.4,Win32,60.03842459,NSASYsrSWsc
RPS061,2023-02-09_14h09.37.460,EFMW_Tasks_RPS,2021.1.4,MacIntel,59.97720866,SWscSANSYrs
RPS062,2023-02-09_16h28.43.370,EFMW_Tasks_RPS,2021.1.4,Linux x86_64,60.02040694,SWcsNSYrsSA
RPS063,2023-02-10_09h18.56.374,EFMW_Tasks_RPS,2021.1.4,Win32,11.98911388,SWscNSYsrSA
RPS064,2023-02-10_12h06.54.490,EFMW_Tasks_RPS,2021.1.4,MacIntel,30.00120005,NSYsrSASWcs
RPS065,2023-02-10_14h34.43.757,EFMW_Tasks_RPS,2021.1.4,Win32,60.11060351,NSWcsSASYsr
RPS066,2023-02-13_09h27.50.214,EFMW_Tasks_RPS,2021.1.4,Win32,48.35823783,SYsrSWscSAN
RPS067,2023-02-13_11h08.24.883,EFMW_Tasks_RPS,2021.1.4,MacIntel,60.0024001,SANSWcsSYsr
