ParticipantID,Date,TaskOrder,SARTTrials,SARTTargets,SARTNonTargets,SARTHits,SARTFAs,SARTHitRate,SARTFARate,SARTdPrime,SARTMeanRT,SARTSDRT,SARTHitMeanRT,SARTHitSDRT,SARTFAMeanRT,SARTFASDRT,SwitchShapeTrials,SwitchColourTrials,SwitchTrials,SwitchSwitchTrials,SwitchStayTrials,SwitchSwitchCorrectTrials,SwitchShapeCorrMeanRT,SwitchShapeCorrSDRT,SwitchColourCorrMeanRT,SwitchColourCorrSDRT,SwitchSwitchCorrMeanRT,SwitchSwitchCorrSDRT,SwitchStayCorrMeanRT,SwitchStayCorrSDRT,SwitchSwitchMeanRT,SwitchSwitchSDRT,SwitchStayMeanRT,SwitchStaySDRT,SwitchCostRT,SymSpanMixSymMeanRT,SymSpanMixSymSDRT,SymSpanMixRecMeanRT,SymSpanMixRecSDRT,SymSpanMixRecCorrMeanRT,SymSpanMixRecCorrSDRT,SymSpanTrials,SymSpanAccuracy,NBack1Hits,NBack1FAs,NBack1Targets,NBack1NonTargets,NBack1HitRate,NBack1FARate,NBack1DPrime,NBack1HitMeanRT,NBack1HitSDRT,NBack1FAMeanRT,NBack1FASDRT,NBack2Hits,NBack2FAs,NBack2Targets,NBack2NonTargets,NBack2HitRate,NBack2FARate,NBack2DPrime,NBack2HitMeanRT,NBack2HitSDRT,NBack2FAMeanRT,NBack2FASDRT,MCTCorrect,MCTNonResp,MCTProbeResps,MCTProbes,MCTMiscount,MCTTimeout,MCTLostCount,MCTThoughtCorrect,MCTAccident,MCTContinuedWrongKey,MCTContinued,MCTMW,MCTAware,MCTIntentional,MCTMWAware,MCTMWUnaware,MCTMWIntentional,MCTMWUnintentional,MCTMWAwareInt,MCTMWAwareUnint,MCTMWUnawareInt,MCTMWUnawareUnint,MCTProbeTrialDiffsMin,MCTProbeTrialDiffsMax,MCTProbeTrialDiffsMean,MCTProbeTrialDiffsSD
RPS001,2022-11-08_10h18.18.652,SYsrSWcsNSA,405,45,360,358,20,0.994444444,0.444444444,0.55,0.38900873,0.122487448,0.391696089,0.124135731,0.340905,0.07471931,24,24,141,84,56,73,0.550026087,0.110235303,0.470854167,0.107167492,0.58010411,0.206879685,0.502698077,0.123502248,0.58592125,0.201961314,0.514246296,0.142124365,0.077406033,NaN,NaN,NaN,NaN,NaN,NaN,196,165,23,4,23,69,0.99,0.057971014,0.932028986,0.463521739,0.116682202,1.41185,1.055749164,18,9,23,69,0.782608696,0.130434783,0.652173913,0.563255556,0.235214411,0.6324,0.160366798,32,7,"MWUnawareUnintentional,MWUnawareUnintentional,OnTaskAwareIntentional,MWAwareIntentional,MWUnawareUnintentional,OnTaskAwareIntentional,MWAwareIntentional,OnTaskAwareUnintentional",8,3,2,3,4,2,2,0,5,5,4,2,2,2,2,2,0,0,2,17,283,101.75,109.7096818
RPS002,2022-11-10_10h06.26.276,SANSWscSYsr,405,45,360,360,10,0.99,0.222222222,0.767777778,0.428315946,0.06968111,0.429221389,0.070100483,0.39572,0.042933639,24,24,141,84,56,78,0.572369565,0.116679528,0.538525,0.129384722,0.8201,0.28292959,0.703603704,0.215869999,0.81965,0.278946388,0.701398182,0.214486443,0.116496296,NaN,NaN,NaN,NaN,NaN,NaN,196,161,21,0,23,69,0.913043478,0.01,0.903043478,0.980928571,0.184103838,NaN,NaN,22,6,23,69,0.956521739,0.086956522,0.869565217,1.185077273,0.325510907,1.350533333,0.584153729,34,46,"OnTaskUnawareIntentional,MWAwareIntentional,MWAwareUnintentional,MWAwareUnintentional,MWUnawareUnintentional",5,1,2,2,0,1,0,4,4,3,2,3,1,1,3,1,2,0,1,25,465,144.4,185.7519852
RPS003,2022-11-18_10h10.26.631,SASYsrSWscN,405,45,360,360,12,0.99,0.266666667,0.723333333,0.40900672,0.065246167,0.411238333,0.064642811,0.342058333,0.046359729,24,24,141,84,56,79,0.525591667,0.157939807,0.467745833,0.107203172,0.572581013,0.143593589,0.526629091,0.139826867,0.579417284,0.149057054,0.526741071,0.138552417,0.045951922,NaN,NaN,NaN,NaN,NaN,NaN,196,129,22,1,23,69,0.956521739,0.014492754,0.942028986,0.50145,0.095666334,1.7824,0,18,4,23,69,0.782608696,0.057971014,0.724637681,0.527411111,0.177676434,0.9572,0.449436647,40,0,"MWUnawareUnintentional",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,785,785,785,0
RPS005,2022-11-14_10h05.53.241,SWcsNSASYrs,405,45,360,359,10,0.997222222,0.222222222,0.775,0.445491328,0.130013785,0.447077159,0.131144475,0.38856,0.05774244,24,24,141,84,56,82,0.5898875,0.255682827,0.512873913,0.158489258,0.737780488,0.261169909,0.713051852,0.270314695,0.741683333,0.267841276,0.713214545,0.267802803,0.024728636,NaN,NaN,NaN,NaN,NaN,NaN,196,116,23,1,23,69,0.99,0.014492754,0.975507246,0.763634783,0.272399542,1.1073,0,19,1,23,69,0.826086957,0.014492754,0.811594203,0.777978947,0.213499786,1.0028,0,32,11,"MWAwareUnintentional,MWUnawareUnintentional,MWUnawareIntentional,OnTaskAwareIntentional,MWUnawareUnintentional,MWUnawareUnintentional,MWUnawareUnintentional,MWAwareIntentional,MWUnawareUnintentional,MWAwareUnintentional",10,4,1,5,3,3,4,0,9,4,3,2,6,2,6,1,1,1,5,6,180,77.3,61.73428725
RPS006,2022-11-17_09h01.49.234,SANSWscSYrs,405,45,360,355,15,0.986111111,0.333333333,0.652777778,0.40792,0.094646782,0.408563944,0.091505262,0.39268,0.155324178,24,24,141,84,56,80,0.5527875,0.099069568,0.5940875,0.21526255,0.6444825,0.178314751,0.592407143,0.145478106,0.645961446,0.177086853,0.592407143,0.145478106,0.052075357,NaN,NaN,NaN,NaN,NaN,NaN,196,107,16,2,23,69,0.695652174,0.028985507,0.666666667,0.65036875,0.178955025,1.3586,0.633284833,19,4,23,69,0.826086957,0.057971014,0.768115942,0.630384211,0.185790764,0.7433,0.157685066,32,25,"MWUnawareUnintentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional",8,8,0,0,6,1,0,1,1,7,7,0,0,0,0,0,0,0,0,21,461,88.5,151.1621646
RPS009,2022-11-21_10h05.03.005,SWcsSYsrNSA,405,45,360,358,6,0.994444444,0.133333333,0.861111111,0.549098352,0.161538678,0.550142737,0.159871006,0.486783333,0.254650006,24,24,141,84,56,57,0.687604762,0.166982866,0.708366667,0.147595218,1.087307018,0.462599034,0.98017907,0.3475481,1.064989157,0.419064673,1.017187037,0.349701888,0.107127948,NaN,NaN,NaN,NaN,NaN,NaN,196,77,19,2,23,69,0.826086957,0.028985507,0.797101449,0.922852632,0.416476916,1.3309,0.453679711,14,8,23,69,0.608695652,0.115942029,0.492753623,1.276707143,0.635159604,1.2156,0.760775445,22,10,"OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,MWUnawareUnintentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,MWUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,MWAwareUnintentional,MWAwareIntentional,OnTaskAwareIntentional,OnTaskUnawareIntentional,OnTaskAwareUnintentional",18,13,3,2,10,6,1,1,4,9,8,2,2,1,3,1,1,0,2,7,181,45.44444444,48.80118396
RPS010,2022-11-22_14h37.12.465,SYrsNSASWsc,405,45,360,355,25,0.986111111,0.555555556,0.430555556,0.437749737,0.166755192,0.438484789,0.16925893,0.427312,0.128200638,24,24,141,84,56,74,0.569954545,0.282197484,0.550056522,0.226204165,0.711613514,0.347476947,0.663187273,0.219964936,0.708459756,0.33324965,0.663594643,0.2179774,0.048426241,NaN,NaN,NaN,NaN,NaN,NaN,196,140,22,1,23,69,0.956521739,0.014492754,0.942028986,0.724354545,0.201419753,0.6195,0,13,6,23,69,0.565217391,0.086956522,0.47826087,0.866869231,0.378637085,0.977633333,0.381005951,27,26,"OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskAwareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskAwareUnintentional,MWUnawareUnintentional,MWUnawareUnintentional,OnTaskAwareUnintentional,MWUnawareUnintentional",13,3,5,5,8,2,0,3,3,3,0,0,3,0,3,0,0,0,3,3,221,63.15384615,76.08969067
RPS011,2022-11-25_10h13.03.061,SASYrsSWcsN,405,45,360,360,20,0.99,0.444444444,0.545555556,0.381790526,0.079081151,0.384119722,0.080365286,0.339865,0.027590068,24,24,141,84,56,81,0.481013636,0.119702947,0.438778261,0.058772388,0.526307407,0.131368959,0.468674545,0.087593138,0.534335714,0.145815342,0.469167857,0.086871657,0.057632862,NaN,NaN,NaN,NaN,NaN,NaN,196,164,23,3,23,69,0.99,0.043478261,0.946521739,0.493021739,0.073650699,0.502566667,0.092725958,15,5,23,69,0.652173913,0.072463768,0.579710145,0.862793333,0.452092785,0.7168,0.153670508,40,1,"MWUnawareUnintentional",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,765,765,765,0
RPS012,2022-11-25_14h17.40.259,SASYrsSWcsN,405,45,360,360,9,0.99,0.2,0.79,0.440205962,0.091024121,0.442279167,0.090688738,0.357277778,0.064232133,24,24,141,84,56,84,0.592758333,0.102568797,0.537608333,0.108535584,0.666133333,0.202635138,0.623655357,0.200097563,0.666133333,0.202635138,0.623655357,0.200097563,0.042477976,NaN,NaN,NaN,NaN,NaN,NaN,196,178,23,1,23,69,0.99,0.014492754,0.975507246,0.583221739,0.170791654,0.9205,0,23,0,23,69,0.99,0.01,0.98,0.858591304,0.363922607,NaN,NaN,40,1,"OnTaskAwareIntentional",1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,780,780,780,0
RPS013,2022-11-26_09h14.00.857,SYrsNSASWsc,405,45,360,360,11,0.99,0.244444444,0.745555556,0.468197844,0.093388205,0.469870833,0.093305583,0.413445455,0.082151559,24,24,141,84,56,81,0.682741667,0.218258929,0.616108333,0.164915736,0.759593827,0.283494191,0.821335849,0.344347603,0.783536145,0.319314481,0.805078182,0.348307961,-0.061742022,NaN,NaN,NaN,NaN,NaN,NaN,196,118,23,0,23,69,0.99,0.01,0.98,0.748434783,0.11053358,NaN,NaN,15,7,23,69,0.652173913,0.101449275,0.550724638,0.838433333,0.28091669,1.281414286,0.686229567,38,1,"MWAwareIntentional,OnTaskUnawareUnintentional,OnTaskAwareUnintentional",3,1,0,2,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,21,579,247,293.7141467
RPS014,2022-11-28_10h02.26.854,SYsrNSASWsc,405,45,360,360,5,0.99,0.111111111,0.878888889,0.486069863,0.092956509,0.486502222,0.093115879,0.45494,0.08313536,24,24,141,84,56,83,0.6259125,0.09239907,0.600754167,0.233763481,0.799874699,0.210732508,0.743957143,0.146329998,0.796657143,0.211524881,0.743957143,0.146329998,0.055917556,NaN,NaN,NaN,NaN,NaN,NaN,196,173,19,1,23,69,0.826086957,0.014492754,0.811594203,0.748921053,0.240710849,0.7383,0,23,1,23,69,0.99,0.014492754,0.975507246,0.706017391,0.226835314,0.7473,0,33,113,"OnTaskAwareIntentional",1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,628,628,628,0
RPS016,2022-11-29_14h34.38.136,SWcsSANSYrs,405,45,360,359,9,0.997222222,0.2,0.797222222,0.477902446,0.161966699,0.48045766,0.162914946,0.375977778,0.06120553,24,24,141,84,56,73,0.794670833,0.296693664,0.657066667,0.218355282,1.097328767,0.422828661,0.909176923,0.323587888,1.14862625,0.483575169,0.914955556,0.318859822,0.188151844,NaN,NaN,NaN,NaN,NaN,NaN,196,162,21,2,23,69,0.913043478,0.028985507,0.884057971,0.835085714,0.150630536,1.33855,0.0761554,20,6,23,69,0.869565217,0.086956522,0.782608696,1.16171,0.596629625,1.280183333,0.615960656,36,4,"OnTaskUnawareUnintentional,MWAwareIntentional,OnTaskAwareIntentional,OnTaskUnawareUnintentional,MWAwareIntentional",5,2,0,3,2,0,0,3,2,3,3,2,0,2,0,2,0,0,0,20,301,149.6,131.0793653
RPS017,2022-11-30_14h22.37.924,NSASYsrSWsc,405,45,360,360,12,0.99,0.266666667,0.723333333,0.407771505,0.069222086,0.41012,0.068875404,0.337316667,0.034556537,24,24,141,84,56,78,0.512579167,0.145904486,0.483073913,0.084084596,0.624273077,0.16792075,0.569855357,0.172492607,0.632592771,0.173385754,0.569855357,0.172492607,0.05441772,NaN,NaN,NaN,NaN,NaN,NaN,196,163,18,0,23,69,0.782608696,0.01,0.772608696,0.537994444,0.089635185,NaN,NaN,17,1,23,69,0.739130435,0.014492754,0.724637681,0.946170588,0.588114238,1.4326,0,38,6,"MWUnawareUnintentional,MWAwareUnintentional",2,1,1,0,1,0,0,1,2,1,0,1,0,0,1,0,1,0,0,339,345,342,4.242640687
RPS018,2022-12-01_10h04.27.688,SANSYrsSWcs,405,45,360,359,11,0.997222222,0.244444444,0.752777778,0.45214,0.114093856,0.451168802,0.097968631,0.483836364,0.368239379,24,24,141,84,56,84,0.564495833,0.104818947,0.526383333,0.14368712,0.639213095,0.227435792,0.615154545,0.179673822,0.639213095,0.227435792,0.616946429,0.1785372,0.02405855,NaN,NaN,NaN,NaN,NaN,NaN,196,126,22,1,23,69,0.956521739,0.014492754,0.942028986,0.573145455,0.191767927,0.4396,0,10,3,23,69,0.434782609,0.043478261,0.391304348,0.64059,0.263739174,0.879333333,0.373070507,29,7,"OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskUnawareUnintentional,OnTaskAwareUnintentional,OnTaskAwareIntentional,OnTaskAwareUnintentional,MWAwareUnintentional,MWAwareUnintentional",10,7,1,2,7,0,0,3,2,9,5,2,0,0,2,0,2,0,0,21,259,70.6,74.79483048
RPS019,2022-12-05_10h11.31.472,SANSYrsSWcs,405,45,360,354,8,0.983333333,0.177777778,0.805555556,0.412732044,0.091930215,0.414648588,0.091831647,0.327925,0.046544994,24,24,141,84,56,73,0.567191667,0.178721654,0.539908696,0.209196993,0.685241096,0.195277121,0.61475283,0.15844638,0.702214634,0.22140271,0.6322,0.188207476,0.070488266,NaN,NaN,NaN,NaN,NaN,NaN,196,143,22,2,23,69,0.956521739,0.028985507,0.927536232,0.458718182,0.146466416,0.56435,0.184342738,18,5,23,69,0.782608696,0.072463768,0.710144928,0.593133333,0.404353874,1.29462,0.884488729,37,4,"OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,OnTaskUnawareUnintentional,MWAwareUnintentional,MWAwareUnintentional,MWAwareUnintentional",6,3,0,3,3,1,0,2,3,3,0,3,0,0,3,0,3,0,0,4,620,124.8333333,244.2510321
RPS020,2022-12-01_15h06.45.903,SWscNSASYrs,405,45,360,358,26,0.994444444,0.577777778,0.416666667,0.434913281,0.228633783,0.444052514,0.233930002,0.309073077,0.041416939,24,24,141,84,56,80,0.519045833,0.21511242,0.4570625,0.181882726,0.89855125,0.500803571,0.715876786,0.341744549,0.899706024,0.493357532,0.715876786,0.341744549,0.182674464,NaN,NaN,NaN,NaN,NaN,NaN,196,126,22,1,23,69,0.956521739,0.014492754,0.942028986,0.862095455,0.621712146,0.7125,0,21,8,23,69,0.913043478,0.115942029,0.797101449,0.914990476,0.25007098,1.1076,0.581788295,30,39,"OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskUnawareUnintentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskAwareIntentional,OnTaskUnawareIntentional",12,10,0,2,6,6,0,0,0,10,11,0,0,0,0,0,0,0,0,19,259,67.83333333,78.06388215
